dc.type.full;dc.identifier.uri;dc.language.iso;dc.date.issued;dc.type.referee;dc.type.circulation;dc.publisher.name;dc.publisher.country;dc.publisher.place;dc.relation.ispartofbook;item.journal.title;dc.relation.medium;dc.relation.conferencename;dc.relation.conferenceplace;dc.title;dc.subject.keywords;item.collection;item.openaireRights;dc.description.numberofauthors;dc.authority.people;;;;;
02 CONTRIBUTO IN VOLUME::02.1 Contributo in Volume;http://hdl.handle.net/11311/1016022;eng;2016;Esperti anonimi;-0;IGI Global - Idea Group Inc.;USA;Hershey;Design Innovations for Contemporary Interiors and Civic Art;-0;STAMPA;-0;-0;Urban Interior Design: Strategies for Public Living Spaces;-0;02.1 Contributo in Volume;info:eu-repo/semantics/closedAccess;1;DI PRETE, BARBARA;;;;;
02 CONTRIBUTO IN VOLUME::02.1 Contributo in Volume;http://hdl.handle.net/11311/1017277;ita;2016;Comitato scientifico;-0;Franco Angeli;ITA;Milano;"Design è traduzione. Il paradigma traduttivo per la cultura del progetto. ""Design e traduzione"": un manifesto";-0;STAMPA;-0;-0;Traduzioni artefattuali. Le molteplici forme della traduzione progettuale.;-0;02.1 Contributo in Volume;info:eu-repo/semantics/closedAccess;1;PENATI, ANTONELLA VALERIA;;;;;
02 CONTRIBUTO IN VOLUME::02.1 Contributo in Volume;http://hdl.handle.net/11311/1017397;ita;2016;-0;-0;Sapienza Università Editrice;ITA;Roma;Prospettive architettoniche conservazione digitale, divulgazione e studio;-0;ELETTRONICO;-0;-0;Realtà e illusione nell’architettura dipinta. Quadraturismo e decorazione pittorica nella Provincia e antica Diocesi di Como (Comasco, Ticino, Valtellina);-0;02.1 Contributo in Volume;info:eu-repo/semantics/closedAccess;1;DE PAOLIS, ROBERTO;;;;;
02 CONTRIBUTO IN VOLUME::02.1 Contributo in Volume;http://hdl.handle.net/11311/1017740;ita;2016;Comitato scientifico;-0;Quinlan - CASVA - Comune di Milano;ITA;Milano;Umanesimo contemporaneo. Gli archivi di Gregotti-Meneghetti-Stoppino e della società Gregotti Associati conservati presso il CASVA;-0;STAMPA;-0;-0;Umanesimo contemporaneo;-0;02.1 Contributo in Volume;info:eu-repo/semantics/closedAccess;1;FERABOLI, MARIA TERESA;;;;;
02 CONTRIBUTO IN VOLUME::02.1 Contributo in Volume;http://hdl.handle.net/11311/1017980;ita;2016;-0;-0;Franco Angeli;ITA;Milano;Carlo De Carli 1910-1999;-0;STAMPA;-0;-0;"Progetti e pensieri 1939-1949: per una ""profezia"" dell'architettura tra disegno del mobile e interni";-0;02.1 Contributo in Volume;info:eu-repo/semantics/openAccess;1;BOSONI, GIAMPIERO;;;;;
02 CONTRIBUTO IN VOLUME::02.1 Contributo in Volume;http://hdl.handle.net/11311/1017982;ita;2016;-0;-0;Accademia University Press;ITA;Torino;Enzo Frateili, un protagonista della cultura del design e dell'architettura;-0;STAMPA;-0;-0;Appunti sulla ricerca iconografica nella storia del design. Alcune riflessioni intorno al valore dell'immagine nella strutturazione dei racconti storici di Enzo Frateili.;-0;02.1 Contributo in Volume;info:eu-repo/semantics/openAccess;1;BOSONI, GIAMPIERO;;;;;
02 CONTRIBUTO IN VOLUME::02.1 Contributo in Volume;http://hdl.handle.net/11311/1017986;ita;2016;Comitato scientifico;-0;DIDA;ITA;Firenze;Interdisciplinary design. Progetto e relazione tra saperi;-0;ELETTRONICO;-0;-0;Nuovi Scenari della materia e visioni di design;Design for Material, MADEC, Interdisciplinary research, advanced scenario, design qualities, tangible interfaces, kinetic environment, design vision and experimentation;02.1 Contributo in Volume;info:eu-repo/semantics/openAccess;1;FERRARA, MARIA RITA;;;;;
02 CONTRIBUTO IN VOLUME::02.1 Contributo in Volume;http://hdl.handle.net/11311/1017993;ita;2016;-0;-0;Maggioli Editore;ITA;-0;Interni Inclusivi. Dialoghi trasversali;-0;-0;-0;-0;Identità possibili degli spazi inclusivi;-0;02.1 Contributo in Volume;info:eu-repo/semantics/closedAccess;1;BARBARA, ANNA;;;;;
02 CONTRIBUTO IN VOLUME::02.1 Contributo in Volume;http://hdl.handle.net/11311/1018138;ita;2016;Esperti non anonimi;-0;Franco Angeli;ITA;Milano;Design è traduzione. Il paradigma traduttivo per la cultura del progetto;-0;STAMPA;-0;-0;Lo sguardo traduttore. Design e traduzione per il campo editoriale;-0;02.1 Contributo in Volume;info:eu-repo/semantics/closedAccess;1;BAULE, GIOVANNI;;;;;
02 CONTRIBUTO IN VOLUME::02.1 Contributo in Volume;http://hdl.handle.net/11311/1001938;eng ita;2016;Comitato scientifico;-0;Marsilio;ITA;Venezia;Stanze. Altre filosofie dell’abitare;-0;STAMPA;-0;-0;Case con vista. Houses with a view;Luigi Figini, Luigi Caccia Dominioni, Ettore Sottsass, Gio Ponti, Carlo Mollino, Vittoriano Viganò, Renzo Piano;02.1 Contributo in Volume;info:eu-repo/semantics/closedAccess;1;IRACE, FULVIO;;;;;
02 CONTRIBUTO IN VOLUME::02.1 Contributo in Volume;http://hdl.handle.net/11311/1005574;eng ita;2016;-0;-0;EDIZIONI DATIVO srl;ITA;MILANO;PACKAGING NATURALMENTE TECNOLOGICO - INNOVAZIONI SOSTENIBILI PER IL FOOD PACKAGING A BASE DI CARTA E CARTONE;-0;STAMPA;-0;-0;DESIGNING AND INNOVATING WITH PAPER, BOARD, AND CELLULOSE PULP - PROGETTARE E FARE INNOVAZIONE CON CARTA, CARTONE E POLPA DI CELLULOSA;design, environmental, packaging;02.1 Contributo in Volume;info:eu-repo/semantics/closedAccess;1;Mario Bisson;;;;;
02 CONTRIBUTO IN VOLUME::02.1 Contributo in Volume;http://hdl.handle.net/11311/1007078;eng ita fra;2016;-0;-0;Nomos Edizioni;ITA;Busto Arsizio (VA);Leonardo da Vinci: Metodi e Tecniche per la Costruzione della Conoscenza.;-0;STAMPA;-0;-0;Il cielo di Leonardo e uno Zodiaco dantesco.;Leonardo da Vinci, Luca Signorelli, Disegno, Pittura, Manoscritti, Dante, Pietro Alighieri, Divina Commedia, Purgatorio, Zodiaco, Astronomia, Cosmologia, Codice Atlantico, Accademia della Crusca, Rubecchio;02.1 Contributo in Volume;info:eu-repo/semantics/closedAccess;1;MAFFEIS, RODOLFO;;;;;
02 CONTRIBUTO IN VOLUME::02.1 Contributo in Volume;http://hdl.handle.net/11311/1013474;eng ita;2016;-0;-0;Aracne;ITA;Roma;Speranza di una nuova progettazione 2 / Hope of a new design 2;-0;STAMPA;-0;-0;Approcci alla complessità nel progetto sostenibile / Approaches to complexity in sustainable design;-0;02.1 Contributo in Volume;info:eu-repo/semantics/closedAccess;1;NEBULONI, ATTILIO;;;;;
02 CONTRIBUTO IN VOLUME::02.1 Contributo in Volume;http://hdl.handle.net/11311/1017983;eng ita;2016;-0;-0;Marsilio;ITA;Venezia;Stanze, altre filosofie dell'abitare;-0;STAMPA;-0;-0;"""La casa nuova è la coscienza di un mondo nuovo"", Del design degli interni e degli elementi che li fanno vibrare";interni, design, mobili;02.1 Contributo in Volume;info:eu-repo/semantics/openAccess;1;BOSONI, GIAMPIERO;;;;;
02 CONTRIBUTO IN VOLUME::02.1 Contributo in Volume;http://hdl.handle.net/11311/1018133;eng ita;2016;-0;-0;Marsilio;ITA;Venezia;New Craft;-0;STAMPA;-0;-0;Il superamento della mano;-0;02.1 Contributo in Volume;info:eu-repo/semantics/openAccess;1;MAFFEI, STEFANO;;;;;
02 CONTRIBUTO IN VOLUME::02.1 Contributo in Volume;http://hdl.handle.net/11311/1018134;eng ita;2016;-0;-0;Libraccio;ITA;Milano;Next Design Innovation;-0;STAMPA;-0;-0;Innovare è innovare è innovare;-0;02.1 Contributo in Volume;info:eu-repo/semantics/openAccess;2;"MAFFEI, STEFANO;BIANCHINI, MASSIMO";;;;;
02 CONTRIBUTO IN VOLUME::02.1 Contributo in Volume;http://hdl.handle.net/11311/1018440;eng heb;2016;Comitato scientifico;-0;Mandragora;ITA;Florence, Italy;INTERDISCIPLINARY RESEARCH AND EDUCATION AGENDA A DESIGN DRIVEN PERSPECTIVE;-0;STAMPA;-0;-0;GLOBAL CHALLENGES AND EDUCATION: THE AGE OF INNOVATION LEADERS;-0;02.1 Contributo in Volume;info:eu-repo/semantics/closedAccess;3;"BERTOLA, PAOLA;CERI, STEFANO;VACCA, FEDERICA";;;;;
02 CONTRIBUTO IN VOLUME::02.1 Contributo in Volume;http://hdl.handle.net/11311/1018446;eng heb;2016;Comitato scientifico;-0;Mandragora;ITA;Florence, Italy;INTERDISCIPLINARY RESEARCH AND EDUCATION AGENDA A DESIGN DRIVEN PERSPECTIVE;-0;STAMPA;-0;-0;INTERDISCIPLINARY EDUCATION AGENDA, AN ESSENTIAL DRIVER FOR INNOVATION;-0;02.1 Contributo in Volume;info:eu-repo/semantics/closedAccess;1;"VACCA, FEDERICA;T. Warshavski";;;;;
02 CONTRIBUTO IN VOLUME::02.1 Contributo in Volume;http://hdl.handle.net/11311/1003948;eng;2015;-0;-0;Ediciones Fundación Internacional Artecittà;ESP;Granada;MuVi4 Video and moving image on synesthesia and visual music;-0;STAMPA;-0;-0;Playn'Rebus 2;-0;02.1 Contributo in Volume;info:eu-repo/semantics/closedAccess;6;"Menini, Marco;Minzoni, Marco;CARATTI, ELENA;TOLINO, UMBERTO;Spinelli, Aldo;Hachen, Massimo";;;;;
02 CONTRIBUTO IN VOLUME::02.1 Contributo in Volume;http://hdl.handle.net/11311/1005099;ita;2015;-0;-0;ATì;ITA;Milano;L’oggetto del progetto. Saggi, dialoghi e lezioni di semiotica intorno al design e all’inventiva progettuale;-0;STAMPA;-0;-0;Design: dall’oggetto al progetto;design, habit, pragmatismo, semiotica,;02.1 Contributo in Volume;info:eu-repo/semantics/openAccess;1;ZINGALE, SALVATORE;;;;;
02 CONTRIBUTO IN VOLUME::02.1 Contributo in Volume;http://hdl.handle.net/11311/1005111;ita;2015;Esperti non anonimi;-0;Bompiani;ITA;Milano;Su Peirce. Interpretazioni, ricerche, prospettive;-0;STAMPA;-0;-0;This is my Design'. Lo spazio dell’abduzione nella progettualità;semiotica, abduzione, Peirce;02.1 Contributo in Volume;info:eu-repo/semantics/openAccess;1;ZINGALE, SALVATORE;;;;;
02 CONTRIBUTO IN VOLUME::02.1 Contributo in Volume;http://hdl.handle.net/11311/1005136;ita;2015;-0;-0;Aracne;ITA;Roma;Dire la Natura. Ambiente e significazione;-0;STAMPA;-0;-0;Per natura e per cultura. Semiotica ecologica e wayfinding;wayfinding, orientamento, semiotica, design, natura;02.1 Contributo in Volume;info:eu-repo/semantics/openAccess;1;ZINGALE, SALVATORE;;;;;
02 CONTRIBUTO IN VOLUME::02.1 Contributo in Volume;http://hdl.handle.net/11311/1006151;eng;2015;-0;-0;SCITEPRESS – Science and Technology, Publications. Lda;PRT;-0;European Project Space on Computational Intelligence, Knowledge Discovery and Systems Engineering for Health and Sports;-0;STAMPA;-0;-0;PEGASO Fit for Future.;-0;02.1 Contributo in Volume;info:eu-repo/semantics/openAccess;2;"GUARNERI, MARIA RENATA;ANDREONI, GIUSEPPE";;;;;
02 CONTRIBUTO IN VOLUME::02.1 Contributo in Volume;http://hdl.handle.net/11311/1006782;ita;2015;Comitato scientifico;-0;ISTITUTO DELLA ENCICLOPEDIA ITALIANA GIOVANNI TRECCANI;ITA;ROMA;ENCICLOPEDIA ITALIANA DI SCIENZE, LETTERE E ARTI;-0;STAMPA;-0;-0;TURISMO SPAZIALE;-0;02.1 Contributo in Volume;info:eu-repo/semantics/closedAccess;1;DOMINONI, ANNALISA;;;;;
02 CONTRIBUTO IN VOLUME::02.1 Contributo in Volume;http://hdl.handle.net/11311/1007039;ita;2015;-0;-0;Skira;ITA;Milano;Leonardo da Vinci: il disegno del mondo;-0;STAMPA;-0;-0;L'equivoco del sole immobile: cosmologia di Leonardo tra disegni e testi;Leonardo da Vinci, Disegno, Manoscritti, Astronomia, Cosmologia, Filosofia Naturale, Aristotele, Alberto di Sassonia, Niccolò Copernico, Luna, Sole, Eliocentrismo;02.1 Contributo in Volume;info:eu-repo/semantics/closedAccess;1;MAFFEIS, RODOLFO;;;;;
02 CONTRIBUTO IN VOLUME::02.1 Contributo in Volume;http://hdl.handle.net/11311/1014079;ita;2015;Comitato scientifico;-0;Franco Angeli;ITA;Milano;Architettura e paesaggi della villeggiatura in Italia tra Ottocento e Novecento;-0;STAMPA;-0;-0;Castione della Presolana (Bergamo): le due case sorelle di Gio Ponti;-0;02.1 Contributo in Volume;none;1;CIAGA', GRAZIELLA LEYLA;;;;;
02 CONTRIBUTO IN VOLUME::02.1 Contributo in Volume;http://hdl.handle.net/11311/1018274;eng;2015;Esperti anonimi;-0;IOS press book;GBR;-0;Studies in Health Technology and Informatics.;-0;STAMPA;-0;-0;Conceptual Design of Haptic-Feedback Navigation Device for Individuals with Alzheimer’s Disease;DESIGN, ALZHEIMER, INNOVAZIONE,;02.1 Contributo in Volume;info:eu-repo/semantics/closedAccess;3;"BIAMONTI, ALESSANDRO;Che Me, Rosalam;Mohd Saad, Mohd Rashid";;;;;
02 CONTRIBUTO IN VOLUME::02.1 Contributo in Volume;http://hdl.handle.net/11311/1007029;eng ita;2015;-0;-0;Marsilio;ITA;Venezia;Leonardo da Vinci on Nature: Knowledge and Representation;-0;STAMPA;-0;-0;«Quasi dentatae rotae»: Leonardo disegna la Luna;Leonardo da Vinci, Disegno, Manoscritti, Astronomia, Cosmologia, Filosofia Naturale, Aristotele, Alberto di Sassonia, Plutarco, Dante, Luna, Galileo;02.1 Contributo in Volume;info:eu-repo/semantics/closedAccess;1;MAFFEIS, RODOLFO;;;;;
02 CONTRIBUTO IN VOLUME::02.1 Contributo in Volume;http://hdl.handle.net/11311/1017990;eng ita;2015;-0;-0;Skira Editore spa;ITA;-0;Achitettura. Movimenti e tendenze dal 1900 ad oggi;-0;-0;-0;-0;The avant-garde movements: Futurism,Czech Cubism, Suprematism, Constructivism, Expressionism, De Stijl;-0;02.1 Contributo in Volume;info:eu-repo/semantics/openAccess;1;BARBARA, ANNA;;;;;
02 CONTRIBUTO IN VOLUME::02.1 Contributo in Volume;http://hdl.handle.net/11311/1005056;eng;2014;-0;-0;Spurbuchverlag;DEU;Baunach, Germany;Design research on Temporary Homes - Hospitable Places for Homeless, Immigrants and Refugees;-0;STAMPA;-0;-0;Design for hospitable interiors: open-ended design solution for welcoming diversity;-0;02.1 Contributo in Volume;info:eu-repo/semantics/closedAccess;2;"GIUNTA, ELENA ENRICA;GEROSA, GIULIA MARIA";;;;;
02 CONTRIBUTO IN VOLUME::02.1 Contributo in Volume;http://hdl.handle.net/11311/1007047;ita;2014;-0;-0;Istituto della Enciclopedia Italiana fondata da Giovanni Treccani;ITA;Roma;L'Orlando Furioso nello specchio delle immagini;-0;STAMPA;-0;-0;"Molto amore per nulla: il ""Furioso"" in pittura nel Settecento italiano";Ariosto, Orlando Furioso, Giambattista Tiepolo, Giuseppe Cades, Casanova, Angelica e Medoro, Pittura, Settecento;02.1 Contributo in Volume;info:eu-repo/semantics/closedAccess;1;MAFFEIS, RODOLFO;;;;;
02 CONTRIBUTO IN VOLUME::02.1 Contributo in Volume;http://hdl.handle.net/11311/1003319;mul;2013;-0;-0;Ass. Italiana Progettazione Comunicazione Visiva;ITA;Milano;Krisis-Orientation. Un progetto di unità di crisi. Ediz. multilingue;-0;STAMPA;-0;-0;Due mappe del territorio;-0;02.1 Contributo in Volume;info:eu-repo/semantics/closedAccess;1;QUAGGIOTTO, MARCO;;;;;
02 CONTRIBUTO IN VOLUME::02.1 Contributo in Volume;http://hdl.handle.net/11311/1005310;ita;2013;-0;-0;LED Edizioni Universitarie;-0;Milano;Ecologia del testo. Esperienza del pensiero;-0;-0;-0;-0;Il web come lo spazio della relazione. Prodromi di un’ecologia del testo;-0;02.1 Contributo in Volume;info:eu-repo/semantics/openAccess;1;CIASTELLARDI, MATTEO;;;;;
02 CONTRIBUTO IN VOLUME::02.1 Contributo in Volume;http://hdl.handle.net/11311/1006160;ita;2012;-0;-0;Patron;-0;-0;Dalla Ricerca al Mercato. Trasformare il risultato della ricerca in un prodotto;-0;-0;-0;-0;Nuovi Sistemi di salute personale: dalla Ricerca al Mercato;-0;02.1 Contributo in Volume;info:eu-repo/semantics/openAccess;1;ANDREONI, GIUSEPPE;;;;;
02 CONTRIBUTO IN VOLUME::02.1 Contributo in Volume;http://hdl.handle.net/11311/1005258;spa;2011;Comitato scientifico;-0;Generalitat de Catalunya / Ara Llibres;ESP;Barcelona;Matèria. Noves Fronteres de la ciencia, l’art i el pensament;-0;STAMPA;-0;-0;Matèria connectada;-0;02.1 Contributo in Volume;info:eu-repo/semantics/closedAccess;2;"CIASTELLARDI, MATTEO;de Almeida, Cristina Miranda";;;;;
02 CONTRIBUTO IN VOLUME::02.1 Contributo in Volume;http://hdl.handle.net/11311/1006272;ita;2009;-0;-0;FrancoAngeli;-0;-0;Argomenti di Ergonomia. Un glossario (vol 1);-0;-0;-0;-0;Antropometria;-0;02.1 Contributo in Volume;info:eu-repo/semantics/openAccess;2;"ANDREONI, GIUSEPPE;PIZZAGALLI, MANUELA";;;;;
02 CONTRIBUTO IN VOLUME::02.1 Contributo in Volume;http://hdl.handle.net/11311/1006273;ita;2009;-0;-0;FrancoAngeli;-0;-0;Argomenti di Ergonomia. Un glossario (vol 1);-0;-0;-0;-0;Biomeccanica Occupazionale;-0;02.1 Contributo in Volume;info:eu-repo/semantics/openAccess;1;ANDREONI, GIUSEPPE;;;;;
